time_s,pitch,motor,vbat
0.001037,0.002,-0.0,12.402
0.022145,0.007,-0.16,12.398
0.042470,0.014,-0.43,12.398
0.052710,0.024,-0.74,12.399
0.073933,0.039,-1.29,12.396
0.094778,0.056,-1.99,12.394
0.105332,0.074,-2.78,12.393
0.126038,0.095,-3.52,12.389
0.136583,0.115,-4.43,12.379
0.157251,0.136,-5.26,12.38
0.167915,0.159,-6.14,12.378
0.188563,0.184,-7.12,12.373
0.209536,0.21,-8.17,12.373
0.219999,0.235,-9.26,12.373
0.240816,0.262,-10.28,12.368
0.261982,0.287,-11.37,12.358
0.272182,0.311,-12.36,12.356
0.292996,0.335,-13.32,12.354
0.303273,0.358,-14.29,12.347
0.324215,0.378,-15.14,12.351
0.334870,0.395,-15.89,12.345
0.355953,0.411,-16.52,12.338
0.376404,0.425,-17.11,12.344
0.386875,0.434,-17.6,12.337
0.407617,0.44,-17.82,12.335
0.428265,0.444,-17.99,12.337
0.438731,0.444,-18.1,12.339
0.459660,0.442,-17.97,12.34
0.470225,0.439,-17.83,12.339
0.490954,0.433,-17.68,12.334
0.511287,0.426,-17.39,12.337
0.521677,0.416,-17.04,12.336
0.542422,0.402,-16.53,12.34
0.553095,0.387,-15.87,12.338
0.573992,0.369,-15.27,12.347
0.584657,0.351,-14.43,12.351
0.605577,0.329,-13.69,12.344
0.626237,0.307,-12.7,12.353
0.636753,0.282,-11.76,12.362
0.657140,0.258,-10.68,12.363
0.678165,0.233,-9.72,12.367
0.688442,0.211,-8.74,12.371
0.709309,0.189,-7.88,12.374
0.719922,0.166,-7.03,12.379
0.741038,0.145,-6.05,12.38
0.762096,0.122,-5.24,12.379
0.772273,0.102,-4.29,12.379
0.792867,0.083,-3.53,12.39
0.803399,0.064,-2.79,12.395
0.824223,0.047,-2.03,12.392
0.844970,0.034,-1.44,12.397
0.855548,0.022,-0.95,12.4
0.876471,0.012,-0.56,12.397
0.887035,0.006,-0.2,12.399
0.908135,0.001,-0.05,12.402
0.918633,0.0,0.1,12.398
0.939740,0.001,0.01,12.399
0.960469,0.003,-0.03,12.399
0.971120,0.01,-0.2,12.396
0.991649,0.02,-0.59,12.394
1.002182,0.032,-1.12,12.398
1.023236,0.047,-1.63,12.397
1.043849,0.064,-2.34,12.392
1.054050,0.083,-3.1,12.391
1.074989,0.103,-3.92,12.387
1.085223,0.125,-4.78,12.383
1.105894,0.149,-5.73,12.381
1.126672,0.176,-6.75,12.377
1.137186,0.203,-7.93,12.371
1.157958,0.23,-9.02,12.371
1.168385,0.257,-10.11,12.365
1.189223,0.285,-11.18,12.353
1.209881,0.312,-12.38,12.357
1.220498,0.338,-13.4,12.353
1.241493,0.363,-14.45,12.351
1.252046,0.387,-15.42,12.344
1.272709,0.413,-16.38,12.343
1.293331,0.436,-17.47,12.338
1.303588,0.458,-18.37,12.335
1.324682,0.476,-19.21,12.331
1.335209,0.493,-19.77,12.327
1.355841,0.508,-20.45,12.331
1.376552,0.523,-21.03,12.33
1.387174,0.535,-21.62,12.323
1.407867,0.544,-21.99,12.324
1.418338,0.554,-22.33,12.313
1.438741,0.564,-22.74,12.316
1.459416,0.574,-23.14,12.314
1.469995,0.583,-23.53,12.321
1.490778,0.591,-23.86,12.317
1.501264,0.598,-24.14,12.315
1.521791,0.605,-24.47,12.318
1.542638,0.613,-24.73,12.312
1.552932,0.623,-25.05,12.308
1.573822,0.634,-25.54,12.309
1.594873,0.644,-25.98,12.311
1.605214,0.654,-26.37,12.309
1.625774,0.661,-26.76,12.301
1.636084,0.668,-26.98,12.302
1.656538,0.674,-27.29,12.299
1.677206,0.681,-27.48,12.305
1.687669,0.689,-27.79,12.299
1.708364,0.697,-28.15,12.297
1.718916,0.705,-28.44,12.305
1.739909,0.711,-28.77,12.303
1.760850,0.718,-28.98,12.297
1.771247,0.722,-29.27,12.301
1.791578,0.725,-29.34,12.295
1.802109,0.728,-29.44,12.297
1.822915,0.732,-29.56,12.293
1.843636,0.736,-29.75,12.3
1.853829,0.742,-29.95,12.294
1.874973,0.745,-30.19,12.297
1.885740,0.748,-30.28,12.294
1.906189,0.751,-30.36,12.292
1.926844,0.75,-30.5,12.291
1.937329,0.746,-30.35,12.295
1.957872,0.741,-30.09,12.292
1.968408,0.735,-29.87,12.297
1.988770,0.728,-29.58,12.3
2.009711,0.719,-29.26,12.3
2.019942,0.711,-28.88,12.303
2.040721,0.701,-28.58,12.302
2.061393,0.688,-28.12,12.297
2.071568,0.672,-27.49,12.306
2.092325,0.653,-26.72,12.305
2.103124,0.633,-25.89,12.308
2.124136,0.612,-25.06,12.312
2.144474,0.592,-24.17,12.315
2.155061,0.573,-23.42,12.32
2.175941,0.553,-22.64,12.316
2.186534,0.532,-21.82,12.326
2.207209,0.509,-20.95,12.324
2.228133,0.488,-19.96,12.331
2.238430,0.466,-19.11,12.334
2.259530,0.445,-18.24,12.332
2.270345,0.422,-17.38,12.336
2.290987,0.4,-16.41,12.34
2.311619,0.378,-15.58,12.342
2.321847,0.355,-14.67,12.347
2.342455,0.331,-13.69,12.352
2.353001,0.305,-12.7,12.355
2.373687,0.28,-11.6,12.352
2.394576,0.256,-10.58,12.361
2.405192,0.231,-9.68,12.362
2.425992,0.208,-8.64,12.367
2.436327,0.188,-7.76,12.374
2.457009,0.169,-7.0,12.375
2.477870,0.154,-6.33,12.379
2.488316,0.141,-5.8,12.372
2.508851,0.131,-5.34,12.384
2.519206,0.121,-4.98,12.38
2.539880,0.115,-4.63,12.377
2.560585,0.111,-4.5,12.39
2.570875,0.107,-4.39,12.386
2.591447,0.106,-4.22,12.384
2.601838,0.107,-4.28,12.387
2.622924,0.107,-4.34,12.383
2.643765,0.108,-4.33,12.386
2.653975,0.109,-4.4,12.383
2.674929,0.11,-4.46,12.382
2.685109,0.111,-4.45,12.383
2.706566,0.112,-4.56,12.38
2.727573,0.116,-4.56,12.386
2.737912,0.12,-4.81,12.374
2.759090,0.125,-5.01,12.383
2.769547,0.132,-5.22,12.382
2.790443,0.138,-5.53,12.381
2.811441,0.141,-5.75,12.382
2.822006,0.143,-5.79,12.376
2.842641,0.147,-5.89,12.384
2.852872,0.149,-6.07,12.375
2.873750,0.15,-6.06,12.378
2.894496,0.15,-6.09,12.374
2.905190,0.152,-6.06,12.381
2.926154,0.152,-6.2,12.373
2.936869,0.153,-6.14,12.38
2.957525,0.156,-6.24,12.379
2.978636,0.158,-6.42,12.377
2.989390,0.157,-6.44,12.374
3.010693,0.155,-6.3,12.378
3.020875,0.152,-6.23,12.377
3.041836,0.15,-6.1,12.378
3.052336,0.149,-6.03,12.378
3.073195,0.148,-6.0,12.38
